run_index,parameter_combination,results,number_itterations,initial_otter,initial_empty,initial_kelp,initial_urchin,kelp_reprod_prob,kelp_reprod_age,kelp_death_age,urchin_reprod_prob,urchin_reprod_age,urchin_death_age,otter_reprod_prob,otter_reprod_age,otter_death_age,otter_carrying_capacity
79,z,,,,,,,,,,,,,,,,
80,aa,,,,,,,,,,,,,,,,
81,aa,,,,,,,,,,,,,,,,
82,aa,,,,,,,,,,,,,,,,
83,bb,,,,,,,,,,,,,,,,
84,bb,,,,,,,,,,,,,,,,
85,bb,,,,,,,,,,,,,,,,
86,cc,,,,,,,,,,,,,,,,
87,cc,,,,,,,,,,,,,,,,
88,cc,,,,,,,,,,,,,,,,
89,dd,,,,,,,,,,,,,,,,
90,dd,,,,,,,,,,,,,,,,
91,dd,,,,,,,,,,,,,,,,
92,ee,,,,,,,,,,,,,,,,
93,ee,,,,,,,,,,,,,,,,
94,ee,,,,,,,,,,,,,,,,
95,ff,,,,,,,,,,,,,,,,
96,ff,,,,,,,,,,,,,,,,
,ff,,,,,,,,,,,,,,,,
,gg,,,,,,,,,,,,,,,,
,gg,,,,,,,,,,,,,,,,
,gg,,,,,,,,,,,,,,,,
,hh,,,,,,,,,,,,,,,,
,hh,,,,,,,,,,,,,,,,
,hh,,,,,,,,,,,,,,,,
,ii,,,,,,,,,,,,,,,,
,ii,,,,,,,,,,,,,,,,
,ii,,,,,,,,,,,,,,,,
